aa	3.233
aah	4.722
aahed	1.301
aahing	1.602
aahs	2.000
aal	1.301
aardvark	2.613
aargh	2.813
aarrgh	1.301
aarrghh	1.301
aas	1.602
ab	3.167
aba	1.903
abaca	1.301
aback	2.462
abacus	2.380
abacuses	1.301
abaft	1.602
abalone	2.708
abalones	2.079
abandon	3.908
abandoned	4.124
abandoner	1.301
abandoning	3.228
abandonment	2.982
abandons	2.431
abase	1.778
abate	2.000
abated	1.903
abatement	1.778
abates	1.602
abating	1.301
abattoir	2.146
abba	2.255
abbas	2.000
abbe	1.602
abbess	1.602
abbesses	1.301
abbey	3.502
abbot	2.924
abbreviate	1.301
abbreviated	2.491
abbreviation	2.380
abbreviations	2.301
abdicate	2.255
abdicated	2.146
abdicates	1.301
abdicating	1.778
abdication	2.079
abdomen	3.525
abdomens	1.778
abdominal	3.533
abduct	2.851
abducted	3.699
abducting	2.491
abduction	3.560
abductions	2.914
abductor	2.544
abductors	2.342
abducts	2.204
abeam	2.146
abed	2.301
abele	1.301
aberrant	2.462
aberration	2.740
aberrations	2.204
abet	2.000
abetted	2.204
abetting	2.708
abettor	1.301
abeyance	1.602
abhor	2.380
abhorred	2.146
abhorrent	2.255
abhors	1.903
abide	3.433
abided	1.778
abiders	1.301
abides	1.903
abiding	2.690
abigail	3.480
abilities	3.787
ability	4.284
abiogenist	1.778
abject	2.591
abjectly	1.778
abjure	1.301
ablate	1.301
ablated	1.301
ablation	1.301
ablaze	2.613
able	5.204
abler	1.301
ablest	1.602
abloom	1.778
ablution	1.778
ablutions	1.903
ably	2.255
abnormal	3.462
abnormalities	2.690
abnormality	2.708
abnormally	2.591
abo	2.079
aboard	4.425
abode	2.813
abolish	2.672
abolished	2.591
abolishes	1.301
abolishing	1.602
abolition	2.301
abolitionism	1.301
abolitionist	2.342
abolitionists	2.398
abomasum	1.301
abominable	2.799
abominably	2.204
abominate	1.778
abomination	3.057
abominations	2.146
aboriginal	2.255
aboriginally	1.301
aboriginals	1.301
aborigine	1.903
aborigines	2.255
aborning	1.301
abort	3.664
aborted	2.799
aborting	2.398
abortion	3.860
abortionist	1.903
abortionists	1.301
abortions	2.839
abortive	1.301
abortively	1.301
aborts	1.301
abound	2.544
abounded	1.778
abounding	1.903
abounds	2.301
about	6.560
above	4.689
aboveboard	2.431
aboveground	2.146
abracadabra	3.017
abrade	1.301
abraded	2.000
abrasion	2.544
abrasions	3.041
abrasive	2.653
abrasiveness	1.602
abrasives	1.903
abreaction	1.301
abreast	2.708
abridge	1.301
abridged	2.255
abridgement	1.301
abridging	1.602
abroad	3.690
abrogate	1.301
abrogated	1.602
abrogating	1.301
abrupt	3.057
abruption	2.079
abruptly	2.944
abruptness	1.903
abs	3.025
abscess	2.690
abscessed	1.778
abscesses	2.146
abscond	2.000
absconded	2.000
absconder	1.301
absconders	1.602
absconding	1.778
abseiling	1.301
absence	3.800
absences	2.431
absent	3.410
absentee	2.544
absenteeism	2.000
absentees	1.903
absenting	1.602
absentminded	1.778
absentmindedness	1.301
absinthe	2.740
absinthes	1.778
absolute	4.053
absolutely	5.054
absoluteness	1.301
absolutes	2.613
absolution	2.973
absolutions	1.301
absolve	2.756
absolved	2.462
absolver	1.903
absolves	1.903
absolving	2.000
absorb	3.297
absorbed	3.185
absorbent	2.204
absorber	1.778
absorbers	2.204
absorbing	2.653
absorbs	2.690
absorption	2.544
absorptions	1.301
abstain	2.708
abstained	1.903
abstainers	1.301
abstaining	2.204
abstains	1.602
abstention	2.079
abstentions	1.301
abstinence	2.944
abstinent	1.778
abstract	3.338
abstracted	1.778
abstracting	1.301
abstraction	2.462
abstractionist	1.301
abstractions	2.000
abstractly	1.602
abstracts	2.146
abstruse	1.778
absurd	3.987
absurdist	1.301
absurdities	2.079
absurdity	2.799
absurdly	2.462
abulia	1.301
abundance	2.944
abundant	2.756
abundantly	2.613
abuse	4.011
abused	3.656
abuser	2.491
abusers	2.342
abuses	2.690
abusing	3.079
abusive	3.212
abusiveness	1.301
abut	2.079
abutment	2.079
abutments	1.301
abuts	1.602
abutting	1.301
abuzz	1.602
abysmal	2.613
abysmally	1.301
abyss	3.246
abyssal	1.301
abysses	1.602
acacia	2.204
academe	1.602
academes	1.301
academia	2.380
academic	3.669
academically	2.342
academician	1.301
academics	2.839
academies	2.146
academy	4.094
acanthus	1.301
accede	2.146
acceded	1.301
accelerant	2.740
accelerate	3.104
accelerated	2.982
accelerates	2.000
accelerating	2.944
acceleration	2.934
accelerator	3.130
accelerators	1.903
accent	4.086
accented	1.301
accents	3.057
accentuate	2.544
accentuated	1.602
accentuates	1.903
accentuating	1.301
accept	4.722
acceptable	3.722
acceptance	3.500
acceptances	1.602
acceptant	1.301
accepted	4.196
accepting	3.606
accepts	3.318
access	4.501
accessed	3.185
accesses	1.602
accessibility	1.602
accessible	3.041
accessing	3.017
accession	2.079
accessories	3.173
accessorise	1.301
accessorize	2.544
accessorized	1.602
accessorizing	2.079
accessory	3.459
accident	4.910
accidental	3.477
accidentally	3.944
accidentals	1.301
accidently	2.342
accidents	3.824
acclaim	2.633
acclaimed	2.591
acclaims	1.602
acclamation	1.301
acclimate	2.204
acclimated	2.301
acclimates	1.301
acclimating	1.778
acclimatization	1.301
acclimatize	1.301
acclimatized	1.602
accolade	1.301
accolades	2.255
accommodate	3.330
accommodated	2.000
accommodates	1.778
accommodating	2.851
accommodation	2.973
accommodations	3.223
accommodative	1.301
accompanied	3.314
accompanies	2.398
accompaniment	2.462
accompanist	2.301
accompanists	1.301
accompany	3.677
accompanying	2.964
accomplice	3.627
accomplices	3.057
accomplish	3.766
accomplished	3.877
accomplishes	2.146
accomplishing	2.708
accomplishment	3.274
accomplishments	3.201
accord	3.212
accordance	3.201
accorded	2.146
according	4.622
accordingly	3.260
accordion	3.117
accordions	1.778
accords	2.255
accost	1.778
accosted	2.826
accosting	1.903
accosts	1.301
account	4.650
accountability	2.672
accountable	3.149
accountancy	1.778
accountant	3.791
accountants	3.033
accounted	3.480
accounting	3.654
accounts	4.020
accoutered	1.301
accoutre	1.301
accoutred	1.602
accoutrement	2.079
accoutrements	2.079
accreditation	2.255
accredited	2.491
accrediting	1.301
accrete	1.301
accrual	1.602
accrue	1.903
accrued	2.398
accrues	1.301
accruing	1.602
accumulate	2.756
accumulated	2.881
accumulates	2.342
accumulating	2.544
accumulation	2.398
accumulations	1.301
accumulative	1.778
accumulator	1.301
accuracy	3.173
accurate	3.894
accurately	3.057
accursed	2.813
accusation	3.447
accusations	3.477
accusatory	1.778
accuse	3.755
accused	4.116
accuser	2.462
accusers	2.204
accuses	2.785
accusing	3.694
